    NEVENTS = 10000
    NUM_CU = 2
    NBUFFER = 1
Throughput = 2047.93 events/s
    NEVENTS = 10000
    NUM_CU = 2
    NBUFFER = 2
Throughput = 4040.73 events/s
    NEVENTS = 10000
    NUM_CU = 2
    NBUFFER = 4
Throughput = 5873.7 events/s
    NEVENTS = 10000
    NUM_CU = 2
    NBUFFER = 8
Throughput = 5812.48 events/s
    NEVENTS = 10000
    NUM_CU = 3
    NBUFFER = 1
Throughput = 3041.34 events/s
    NEVENTS = 10000
    NUM_CU = 3
    NBUFFER = 2
Throughput = 5909.32 events/s
    NEVENTS = 10000
    NUM_CU = 3
    NBUFFER = 4
Throughput = 6398.53 events/s
    NEVENTS = 10000
    NUM_CU = 3
    NBUFFER = 8
Throughput = 6732.89 events/s
    NEVENTS = 10000
    NUM_CU = 4
    NBUFFER = 1
Throughput = 4064.61 events/s
    NEVENTS = 10000
    NUM_CU = 4
    NBUFFER = 2
Throughput = 6695.33 events/s
    NEVENTS = 10000
    NUM_CU = 4
    NBUFFER = 4
Throughput = 6740.22 events/s
    NEVENTS = 10000
    NUM_CU = 4
    NBUFFER = 8
Throughput = 6815.31 events/s
